kategori;category;entity;provinsi;province;kabupaten/kota
bahasa;language;Bahasa ngai;Kalimantan Barat;West Kalimantan;Kabupaten Sekadau
bahasa;language;Bahasa Pulai;Kalimantan Barat;West Kalimantan;Kabupaten Sekadau
bahasa;language;Bahasa Makai;Kalimantan Barat;West Kalimantan;Kabupaten Sekadau
bahasa;language;Bahasa Bejalai;Kalimantan Barat;West Kalimantan;Kabupaten Sekadau
bahasa;language;Bahasa Akay Day;Kalimantan Barat;West Kalimantan;Kabupaten Sekadau
bahasa;language;Bahasa Akay Nay;Kalimantan Barat;West Kalimantan;Kabupaten Sekadau
bahasa;language;Bahasa Paser;Kalimantan Timur;East Kalimantan;Kota Balikpapan
bahasa;language;Bahasa Kutai;Kalimantan Timur;East Kalimantan;Kota Balikpapan
bahasa;language;Bahasa Banjar;Kalimantan Timur;East Kalimantan;Kota Balikpapan
bahasa;language;Bahasa Bugis;Kalimantan Timur;East Kalimantan;Kota Balikpapan
bahasa;language;Bahasa Jawa;Kalimantan Timur;East Kalimantan;Kota Balikpapan
bahasa;language;Bahasa Bimbingan Belajar Primagama;Lampung;Lampung;Kota Metro
bahasa;language;Bahasa Bimbingan Belajar Nurul Fikri;Lampung;Lampung;Kota Metro
bahasa;language;Bahasa Bimbingan Belajar Ganesha Operation;Lampung;Lampung;Kota Metro
bahasa;language;Bahasa Bimbingan Belajar Hafara;Lampung;Lampung;Kota Metro
bahasa;language;Bahasa Daerah Terpenting;Nusa Tenggara Timur;East Nusa Tenggara;Kabupaten Belu
bahasa;language;bahasa Jepang;Aceh;Aceh;Kabupaten Aceh Barat
bahasa;language;Bahasa Aceh;Aceh;Aceh;Kabupaten Aceh Besar
bahasa;language;Bahasa Aceh;Aceh;Aceh;Kabupaten Aceh Selatan
bahasa;language;bahasa Simeulue;Aceh;Aceh;Kabupaten Simeulue
bahasa;language;Bahasa Aceh;Aceh;Aceh;Kota Langsa
bahasa;language;Bahasa Minangkabau;Jambi;Jambi;Kabupaten Kerinci
bahasa;language;Bahasa Cirebon;Jawa Barat;West Java;Kabupaten Cirebon
bahasa;language;bahasa Jawa;Jawa Barat;West Java;Kabupaten Indramayu
bahasa;language;bahasa Cirebon;Jawa Barat;West Java;Kabupaten Indramayu
bahasa;language;Bahasa Betawi;Jawa Barat;West Java;Kabupaten Karawang
bahasa;language;Bahasa Sunda Kasar;Jawa Barat;West Java;Kabupaten Karawang
bahasa;language;bahasa Jawa Kuno;Jawa Barat;West Java;Kabupaten Majalengka
bahasa;language;Bahasa Sunda;Jawa Barat;West Java;Kabupaten Majalengka
bahasa;language;Bahasa Sunda;Jawa Barat;West Java;Kabupaten Pangandaran
bahasa;language;bahasa Bekasi;Jawa Barat;West Java;Kota Bekasi
bahasa;language;bahasa Cirebon;Jawa Barat;West Java;Kota Cirebon
bahasa;language;bahasa Sunda;Jawa Tengah;Central Java;Kabupaten Brebes
bahasa;language;bahasa Jawa;Jawa Tengah;Central Java;Kabupaten Demak
bahasa;language;bahasa Jawa;Jawa Tengah;Central Java;Kabupaten Karanganyar
bahasa;language;bahasa Jawa;Jawa Tengah;Central Java;Kabupaten Kendal
bahasa;language;Bahasa Jawa;Jawa Tengah;Central Java;Kabupaten Purworejo
bahasa;language;Bahasa Jawa;Jawa Tengah;Central Java;Kabupaten Tegal
bahasa;language;bahasa Jawa;Jawa Tengah;Central Java;Kota Salatiga
bahasa;language;bahasa Jawa;Jawa Tengah;Central Java;Kota Semarang
bahasa;language;bahasa Jawa;Jawa Tengah;Central Java;Kota Surakarta
bahasa;language;Bahasa Jawa;Jawa Timur;East Java;Kabupaten Jombang
bahasa;language;bahasa Sanskerta;Jawa Timur;East Java;Kabupaten Ngawi
bahasa;language;bahasa Madura;Jawa Timur;East Java;Kabupaten Sumenep
bahasa;language;Bahasa Jawa;Jawa Timur;East Java;Kota Kediri
bahasa;language;bahasa Jawa;Jawa Timur;East Java;Kota Malang
bahasa;language;Bahasa Tionghoa;Kalimantan Barat;West Kalimantan;Kabupaten Bengkayang
bahasa;language;Bahasa Belanda;Kalimantan Barat;West Kalimantan;Kabupaten Landak
bahasa;language;bahasa Banjar;Kalimantan Selatan;South Borneo;Kabupaten Tanah Laut
bahasa;language;bahasa Kawi;Lampung;Lampung;Kabupaten Lampung Barat
bahasa;language;Bahasa Lampung;Lampung;Lampung;Kota Metro
bahasa;language;Bahasa Jawa;Lampung;Lampung;Kota Metro
bahasa;language;Bahasa Minang;Lampung;Lampung;Kota Metro
bahasa;language;Bahasa Sunda;Lampung;Lampung;Kota Metro
bahasa;language;bahasa Belanda;Papua;Papua;Kabupaten Boven Digoel
bahasa;language;bahasa Melayu;Riau;Riau;Kabupaten Siak
bahasa;language;bahasa Bugis;Sulawesi Selatan;South Sulawesi;Kabupaten Bulukumba
bahasa;language;bahasa Kaili;Sulawesi Tengah;Central Sulawesi;Kabupaten Sigi
bahasa;language;bahasa Minang;Sumatera Barat;West Sumatra;Kabupaten Lima Puluh Kota
bahasa;language;bahasa Minang;Sumatera Barat;West Sumatra;Kota Bukittinggi
bahasa;language;bahasa Minang;Sumatera Barat;West Sumatra;Kota Payakumbuh
bahasa;language;bahasa Komering;Sumatera Selatan;South Sumatra;Kota Palembang
bahasa;language;bahasa Simalungun;Sumatera Utara;North Sumatra;Kabupaten Simalungun
bahasa;language;bahasa Jawa;Yogyakarta;Yogyakarta;Kabupaten Gunungkidul
benteng;fortress;Benteng Marlborough;Bengkulu;Bengkulu;None
benteng;fortress;kukuh mempertahankan Harga diri;Gorontalo;Gorontalo;None
benteng;fortress;Benteng Oranye Kwandang;Gorontalo;Gorontalo;None
benteng;fortress;Benteng Amsterdam;Maluku;Maluku;None
benteng;fortress;Benteng Victoria;Maluku;Maluku;None
benteng;fortress;Benteng Belgica;Maluku;Maluku;None
benteng;fortress;Benteng Titaley;Maluku;Maluku;None
benteng;fortress;Benteng Keraton Buton;Sulawesi Tenggara;Southeast Sulawesi;None
benteng;fortress;Benteng Kerajaan Kabaena;Sulawesi Tenggara;Southeast Sulawesi;None
benteng;fortress;Benteng Portugis;Sulawesi Utara;North Sulawesi;None
benteng;fortress;Benteng Kuta Reh;Aceh;Aceh;Kabupaten Aceh Tenggara
benteng;fortress;Benteng Kuta Asan;Aceh;Aceh;Kabupaten Pidie
benteng;fortress;Benteng Otanaha;Gorontalo;Gorontalo;Kota Gorontalo
benteng;fortress;Benteng Pendhem;Jawa Tengah;Central Java;Kabupaten Cilacap
benteng;fortress;Benteng Portugis;Jawa Tengah;Central Java;Kabupaten Jepara
benteng;fortress;Benteng VOC;Jawa Tengah;Central Java;Kabupaten Jepara
benteng;fortress;Benteng Pendem Purworejo;Jawa Tengah;Central Java;Kabupaten Purworejo
benteng;fortress;Benteng Williem II;Jawa Tengah;Central Java;Kabupaten Semarang
benteng;fortress;Benteng sisa peninggalan Mataram Kuno;Jawa Tengah;Central Java;Kabupaten Temanggung
benteng;fortress;Benteng ERFPRINS;Jawa Timur;East Java;Kabupaten Bangkalan
benteng;fortress;Benteng Tjakraningrat IV Tanjoeng Piring;Jawa Timur;East Java;Kabupaten Bangkalan
benteng;fortress;Benteng Lodewijk Mengare;Jawa Timur;East Java;Kabupaten Gresik
benteng;fortress;Benteng VOC Kalimook;Jawa Timur;East Java;Kabupaten Sumenep
benteng;fortress;Benteng Pertahanan Belanda;Kalimantan Barat;West Kalimantan;Kabupaten Bengkayang
benteng;fortress;Benteng Bukit Cening;Kepulauan Riau;Riau islands;Kabupaten Lingga
benteng;fortress;Benteng Tanjung Cengkeh;Kepulauan Riau;Riau islands;Kabupaten Lingga
benteng;fortress;Benteng Kuala Daik;Kepulauan Riau;Riau islands;Kabupaten Lingga
benteng;fortress;Benteng Mepar Berbentuk segi Empat;Kepulauan Riau;Riau islands;Kabupaten Lingga
benteng;fortress;Benteng Kubu Parit;Kepulauan Riau;Riau islands;Kabupaten Lingga
benteng;fortress;Benteng Bernaveld Amasing;Maluku Utara;North Maluku;Kabupaten Halmahera Selatan
benteng;fortress;Benteng Tolukko;Maluku Utara;North Maluku;Kota Ternate
benteng;fortress;Benteng Oranje;Maluku Utara;North Maluku;Kota Ternate
benteng;fortress;Benteng Kalamata;Maluku Utara;North Maluku;Kota Ternate
benteng;fortress;Benteng Kota Naka;Maluku Utara;North Maluku;Kota Ternate
benteng;fortress;Benteng Gam Lamo;Maluku Utara;North Maluku;Kota Ternate
benteng;fortress;Benteng Santo Pedro;Maluku Utara;North Maluku;Kota Ternate
benteng;fortress;Benteng Talagame;Maluku Utara;North Maluku;Kota Ternate
benteng;fortress;Benteng Willyam Star;Maluku Utara;North Maluku;Kota Ternate
benteng;fortress;Benteng Fort Concordia;Nusa Tenggara Timur;East Nusa Tenggara;Kota Kupang
benteng;fortress;Benteng Tujuh Lapis;Riau;Riau;Kabupaten Rokan Hulu
benteng;fortress;Benteng tujuh lapis Dalu-dalu;Riau;Riau;Kabupaten Rokan Hulu
benteng;fortress;Benteng Somba Opu;Sulawesi Selatan;South Sulawesi;Kabupaten Gowa
benteng;fortress;Benteng Pertahanan PongTiku;Sulawesi Selatan;South Sulawesi;Kabupaten Toraja Utara
benteng;fortress;Benteng Fort Rotterdam;Sulawesi Selatan;South Sulawesi;Kota Makassar
benteng;fortress;Benteng Panyua;Sulawesi Selatan;South Sulawesi;Kota Makassar
benteng;fortress;Dinding benteng ini kukuh menjulang setinggi  meter;Sulawesi Selatan;South Sulawesi;Kota Makassar
benteng;fortress;Benteng;Sulawesi Tenggara;Southeast Sulawesi;Kabupaten Buton Utara
benteng;fortress;Benteng Keraton Buton;Sulawesi Tenggara;Southeast Sulawesi;Kota Bau-Bau
benteng;fortress;Benteng Keraton Buton dan Masjid Agung Keraton;Sulawesi Tenggara;Southeast Sulawesi;Kota Bau-Bau
benteng;fortress;Benteng Resort;Sulawesi Utara;North Sulawesi;Kota Bitung
benteng;fortress;Benteng Portugis;Sumatera Barat;West Sumatra;Kabupaten Pesisir Selatan
benteng;fortress;Benteng Kuto Besak;Sumatera Selatan;South Sumatra;Kota Palembang
benteng;fortress;Benteng Tundakan;Kalimantan Selatan;South Borneo;Kabupaten Balangan
benteng;fortress;Benteng Tatas;Kalimantan Selatan;South Borneo;Kota Banjarmasin
benteng;fortress;Benteng Nossa Senhora da Anunciada;Maluku;Maluku;Kota Ambon
benteng;fortress;Benteng Kota Bombonawulu;Sulawesi Tenggara;Southeast Sulawesi;Kabupaten Buton Tengah
benteng;fortress;Benteng Wasilomata;Sulawesi Tenggara;Southeast Sulawesi;Kabupaten Buton Tengah
benteng;fortress;Benteng Gumanano;Sulawesi Tenggara;Southeast Sulawesi;Kabupaten Buton Tengah
benteng;fortress;Benteng Tindoi;Sulawesi Tenggara;Southeast Sulawesi;Kabupaten Wakatobi
benteng;fortress;Benteng Liya;Sulawesi Tenggara;Southeast Sulawesi;Kabupaten Wakatobi
benteng;fortress;BENTENG OLLO;Sulawesi Tenggara;Southeast Sulawesi;Kabupaten Wakatobi
benteng;fortress;BENTENG LA DONDA Benteng La Donda;Sulawesi Tenggara;Southeast Sulawesi;Kabupaten Wakatobi
benteng;fortress;Benteng Patua;Sulawesi Tenggara;Southeast Sulawesi;Kabupaten Wakatobi
benteng;fortress;Benteng Palahidu;Sulawesi Tenggara;Southeast Sulawesi;Kabupaten Wakatobi
benteng;fortress;Benteng Wali;Sulawesi Tenggara;Southeast Sulawesi;Kabupaten Wakatobi
benteng;fortress;benteng Fort de Kock;Sumatera Barat;West Sumatra;Kota Bukittinggi
candi;temple;Candi Jiwa;Jawa Barat;West Java;None
candi;temple;Candi Blandongan;Jawa Barat;West Java;None
candi;temple;Candi Bumi Ayu;Sumatera Selatan;South Sumatra;None
candi;temple;Candi Prambanan;Yogyakarta;Yogyakarta;None
candi;temple;Candi Kalasan Peninggalan Budha tertua;Yogyakarta;Yogyakarta;None
candi;temple;Candi Ijo;Yogyakarta;Yogyakarta;None
candi;temple;Candi Abang;Yogyakarta;Yogyakarta;None
candi;temple;Candi Gampingan;Yogyakarta;Yogyakarta;None
candi;temple;Candi Sari;Yogyakarta;Yogyakarta;None
candi;temple;Candi Kedulan;Yogyakarta;Yogyakarta;None
candi;temple;Candi Sambisari;Yogyakarta;Yogyakarta;None
candi;temple;Candi Sorogedug;Yogyakarta;Yogyakarta;None
candi;temple;Candi Kimpulan;Yogyakarta;Yogyakarta;None
candi;temple;Candi Gembirowati;Yogyakarta;Yogyakarta;None
candi;temple;Candi Klodangan;Yogyakarta;Yogyakarta;None
candi;temple;Candi Banyunibo;Yogyakarta;Yogyakarta;None
candi;temple;Candi Morangan;Yogyakarta;Yogyakarta;None
candi;temple;Candi Risan;Yogyakarta;Yogyakarta;None
candi;temple;Candi Palgading;Yogyakarta;Yogyakarta;None
candi;temple;Candi Watu Gudhig;Yogyakarta;Yogyakarta;None
candi;temple;Candi Dawangsari;Yogyakarta;Yogyakarta;None
candi;temple;Candi Miri;Yogyakarta;Yogyakarta;None
candi;temple;Candi Keblak;Yogyakarta;Yogyakarta;None
candi;temple;Candi Gebang;Yogyakarta;Yogyakarta;None
candi;temple;Candi Barong;Yogyakarta;Yogyakarta;None
candi;temple;Candi Pringtali;Yogyakarta;Yogyakarta;None
candi;temple;Candi Plembutan;Yogyakarta;Yogyakarta;None
candi;temple;Candi Muaro Jambi;Jambi;Jambi;None
candi;temple;Candi Prambanan;Jawa Tengah;Central Java;None
candi;temple;Candi warna Putih;Bali;Bali;Kabupaten Tabanan
candi;temple;Candi Cangkuang;Jawa Barat;West Java;Kabupaten Garut
candi;temple;Candi Bubrah;Jawa Tengah;Central Java;Kabupaten Jepara
candi;temple;Candi Angin;Jawa Tengah;Central Java;Kabupaten Jepara
candi;temple;Candi Prambanan;Jawa Tengah;Central Java;Kabupaten Klaten
candi;temple;Candi Sewu;Jawa Tengah;Central Java;Kabupaten Klaten
candi;temple;Candi Plaosan;Jawa Tengah;Central Java;Kabupaten Klaten
candi;temple;Candi Bubrah;Jawa Tengah;Central Java;Kabupaten Klaten
candi;temple;Candi Merak;Jawa Tengah;Central Java;Kabupaten Klaten
candi;temple;Candi Ngempon;Jawa Tengah;Central Java;Kabupaten Semarang
candi;temple;Candi Klero;Jawa Tengah;Central Java;Kabupaten Semarang
candi;temple;Candi Dukuh;Jawa Tengah;Central Java;Kabupaten Semarang
candi;temple;Candi Pringsewu;Jawa Tengah;Central Java;Kabupaten Temanggung
candi;temple;Candi Tugu;Jawa Tengah;Central Java;Kota Semarang
candi;temple;Candi Penataran;Jawa Timur;East Java;Kabupaten Blitar
candi;temple;Candi Sawentar;Jawa Timur;East Java;Kabupaten Blitar
candi;temple;Candi Plumbangan;Jawa Timur;East Java;Kabupaten Blitar
candi;temple;Candi Simping;Jawa Timur;East Java;Kabupaten Blitar
candi;temple;Candi Tegowangi;Jawa Timur;East Java;Kabupaten Kediri
candi;temple;Candi Surowono;Jawa Timur;East Java;Kabupaten Kediri
candi;temple;Candi Slumpang Laren;Jawa Timur;East Java;Kabupaten Lamongan
candi;temple;Candi Sadon;Jawa Timur;East Java;Kabupaten Magetan
candi;temple;Candi Simbatan;Jawa Timur;East Java;Kabupaten Magetan
candi;temple;Candi Kidal;Jawa Timur;East Java;Kabupaten Malang
candi;temple;Candi Singhasari;Jawa Timur;East Java;Kabupaten Malang
candi;temple;Candi Jago;Jawa Timur;East Java;Kabupaten Malang
candi;temple;Candi Singosari;Jawa Timur;East Java;Kabupaten Malang
candi;temple;Candi Singosari dan arca Dwarapala;Jawa Timur;East Java;Kabupaten Malang
candi;temple;Candi Ngetos;Jawa Timur;East Java;Kabupaten Nganjuk
candi;temple;Candi Lor;Jawa Timur;East Java;Kabupaten Nganjuk
candi;temple;Candi Burung;Jawa Timur;East Java;Kabupaten Pamekasan
candi;temple;Candi Dermo;Jawa Timur;East Java;Kabupaten Sidoarjo
candi;temple;Candi Mendalem;Jawa Timur;East Java;Kabupaten Sidoarjo
candi;temple;Candi Pari;Jawa Timur;East Java;Kabupaten Sidoarjo
candi;temple;Candi Sumur;Jawa Timur;East Java;Kabupaten Sidoarjo
candi;temple;Candi Tawangalun;Jawa Timur;East Java;Kabupaten Sidoarjo
candi;temple;Candi Setono Gedong;Jawa Timur;East Java;Kota Kediri
candi;temple;Candi Laras Utara;Kalimantan Selatan;South Borneo;Kabupaten Tapin
candi;temple;Candi Laras Selatan;Kalimantan Selatan;South Borneo;Kabupaten Tapin
candi;temple;Candi Sipamutung;Sumatera Utara;North Sumatra;Kabupaten Padang Lawas
candi;temple;Candi Tandihat;Sumatera Utara;North Sumatra;Kabupaten Padang Lawas
candi;temple;Candi Sangkilon;Sumatera Utara;North Sumatra;Kabupaten Padang Lawas
candi;temple;Candi Plembutan;Yogyakarta;Yogyakarta;Kabupaten Gunungkidul
candi;temple;Candi Risan;Yogyakarta;Yogyakarta;Kabupaten Gunungkidul
candi;temple;Candi Prambanan;Yogyakarta;Yogyakarta;Kabupaten Sleman
candi;temple;Candi Ratu Boko;Yogyakarta;Yogyakarta;Kabupaten Sleman
candi;temple;Candi Gebang;Yogyakarta;Yogyakarta;Kabupaten Sleman
candi;temple;Candi Ijo;Yogyakarta;Yogyakarta;Kabupaten Sleman
candi;temple;Candi Borobudur;Jawa Tengah;Central Java;Kabupaten Magelang
candi;temple;Candi Sukuh;Jawa Tengah;Central Java;Kota Surakarta
candi;temple;Candi Cetho;Jawa Tengah;Central Java;Kota Surakarta
candi;temple;Candi Monyet;Jawa Tengah;Central Java;Kota Surakarta
candi;temple;Candi Agung;Kalimantan Selatan;South Borneo;Kabupaten Balangan
candi;temple;Candi Agung;Kalimantan Selatan;South Borneo;Kabupaten Hulu Sungai Utara
candi;temple;Candi Muara Takus;Riau;Riau;Kabupaten Kampar
cerita rakyat;folklore;Bustanus Salatin;Aceh;Aceh;None
cerita rakyat;folklore;Hikayat Prang Sabi;Aceh;Aceh;None
cerita rakyat;folklore;Hikayat Malem Diwa;Aceh;Aceh;None
cerita rakyat;folklore;Legenda Amat Rhang Manyang;Aceh;Aceh;None
cerita rakyat;folklore;Legenda Putroe Neng;Aceh;Aceh;None
cerita rakyat;folklore;Legenda Magasang;Aceh;Aceh;None
cerita rakyat;folklore;Magaseueng;Aceh;Aceh;None
cerita rakyat;folklore;Legenda Magasang dan Magaseueng;Aceh;Aceh;None
cerita rakyat;folklore;Bekana;Kalimantan Barat;West Kalimantan;None
cerita rakyat;folklore;Bejandeh;Kalimantan Barat;West Kalimantan;None
cerita rakyat;folklore;Nyangahatn;Kalimantan Barat;West Kalimantan;None
cerita rakyat;folklore;Pantun Jepin;Kalimantan Barat;West Kalimantan;None
cerita rakyat;folklore;Asaren tuah Puhuna;Sulawesi Utara;North Sulawesi;None
cerita rakyat;folklore;Hikayat Prang Tondano;Sulawesi Utara;North Sulawesi;None
cerita rakyat;folklore;Hikayat Danau Tondano;Sulawesi Utara;North Sulawesi;None
cerita rakyat;folklore;Legenda Pingkan Matindas;Sulawesi Utara;North Sulawesi;None
cerita rakyat;folklore;Legenda Toar Lumimuut;Sulawesi Utara;North Sulawesi;None
cerita rakyat;folklore;Legenda Mamanua;Sulawesi Utara;North Sulawesi;None
cerita rakyat;folklore;Negeri Sambas;Kalimantan Barat;West Kalimantan;None
cerita rakyat;folklore;Negara Brunei Darussalam Hikayat Banjar;Kalimantan Barat;West Kalimantan;None
cerita rakyat;folklore;nama Kalimantan Barat;Kalimantan Barat;West Kalimantan;None
cerita rakyat;folklore;dunia Negeri Sambas;Kalimantan Barat;West Kalimantan;None
